;X;Aorta_ID;Diet;Total_plaque_vol;DESC;ARCH;LSA;LCCA;BCA;Total_plaque_objects;Object_ID;Object_mm3;Major_axis;Minor_axis;Extent;Location;CD45_mm3
40;39;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;4;0,00029090927476347;16,845312787332;10,5270401195246;0,336309523809524;1;0,000241995325909435
41;40;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;5;0,000841834803961546;22,3623217235441;14,6818735533245;0,372649572649573;2;0
42;41;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;6;0,00581046224018718;52,0855004356255;33,3811732275768;0,192905982905983;1;0,0052177024126271
43;42;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;7;0,000473692978375916;45,1594858074258;14,8320403985057;0,076858813700919;1;6,43604590184668e-06
44;43;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;8;0,00179050796989375;44,8321144451137;21,0539637282603;0,117087542087542;1;0,00141078126168479
45;44;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;9;0,000654545868217807;26,6385985813135;16,0387026610658;0,203481392557023;2;0,000227192420335188
46;45;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;10;6,43604590184668e-07;0;0;1;1;0
47;46;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;11;0,0247369424237477;80,8804315247281;47,9933566269905;0,186172789273812;5;0,0121480366397356
48;47;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;12;0,0242111174735668;93,3805076146953;52,9720619938347;0,140319596550386;2;0,0102300949609853
49;48;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;13;0,00016411917049709;13,9921315860239;10,1763162388862;0,265625;1;1,28720918036934e-05
50;49;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;14;3,21802295092334e-06;3,57770876399966;1,78885438199983;0,833333333333333;1;6,43604590184668e-07
51;50;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;15;1,60901147546167e-05;7,38307019933123;3,85147801035575;0,25;2;6,43604590184668e-07
52;51;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;16;9,07482472160382e-05;11,8608117001775;7,90776840363275;0,313333333333333;2;3,53982524601567e-05
53;52;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;17;9,65406885277002e-06;6,53690183383568;3,1243208372485;0,25;2;8,36685967240068e-06
55;54;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;19;0,00020402265508854;29,9858088553681;15,9820197036663;0,0783102766798419;0;0
56;55;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;20;0,00180595448005818;40,6204826844878;18,7449360781988;0,192376251199781;0;0
