;ID;Diet;variable;value
155;142019676;ApoE-/- CHOW;LSA;0
156;152019676;ApoE-/- CHOW;LSA;0
157;162019676;ApoE-/- CHOW;LSA;0
158;172019676;ApoE-/- CHOW;LSA;0
159;182019676;ApoE-/- CHOW;LSA;0
160;192019676;ApoE-/- CHOW;LSA;0
161;202019676;ApoE-/- CHOW;LSA;0
162;102019676;ApoE-/- WD;LSA;0,04
163;12019676;ApoE-/- WD;LSA;0,04
164;22019676;ApoE-/- WD;LSA;0,04
165;32019676;ApoE-/- WD;LSA;0,04
166;42019676;ApoE-/- WD;LSA;0
167;52019676;ApoE-/- WD;LSA;0
168;62019676;ApoE-/- WD;LSA;0
169;72019676;ApoE-/- WD;LSA;0
170;82019676;ApoE-/- WD;LSA;0,04
171;92019676;ApoE-/- WD;LSA;0,04
172;1;LDLr-/- LFD;LCCA;0,00120677685559534
173;2;LDLr-/- LFD;LCCA;0,00311184168892645
174;3;LDLr-/- WD;LCCA;0,0548016390129941
175;4;LDLr-/- LFD;LCCA;2,43265224263305e-06
176;5;LDLr-/- LFD;LCCA;0,00692715771452501
177;6;LDLr-/- WD;LCCA;0,0287004374667604
178;7;LDLr-/- LFD;LCCA;0,0313197471772912
179;8;LDLr-/- WD;LCCA;0,0236372910242421
180;9;LDLr-/- LFD;LCCA;0,0111744613033424
181;10;LDLr-/- WD;LCCA;0,0542564723843136
182;11;LDLr-/- WD;LCCA;0,0438691794468225
183;12;LDLr-/- LFD;LCCA;0,00881231803254399
184;14;LDLr-/- WD;LCCA;0,0884126875206425
185;15;LDLr-/- WD;LCCA;0,0918078929302312
186;16;LDLr-/- LFD;LCCA;0,00280083281356422
187;18;LDLr-/- WD;LCCA;0,0535964268329399
188;19;LDLr-/- LFD;LCCA;0,00744576272109754
189;20;LDLr-/- LFD;LCCA;0,0213882085446668
190;21;LDLr-/- WD;LCCA;0,0556018650531031
191;22;LDLr-/- LFD;LCCA;0,00177191922235613
192;23;LDLr-/- WD;LCCA;0,00922833196207845
193;24;LDLr-/- WD;LCCA;0,0349926840620322
194;25;LDLr-/- WD;LCCA;0,0230730360111976
195;26;LDLr-/- WD;LCCA;0,0535330936719575
196;28;LDLr-/- LFD;LCCA;0,0469016243635423
197;30;LDLr-/- LFD;LCCA;0,0100008709909341
198;31;LDLr-/- LFD;LCCA;0,00647665943256896
199;32;LDLr-/- WD;LCCA;0,051329375247825
200;33;LDLr-/- WD;LCCA;0,034452190331526
201;34;LDLr-/- LFD;LCCA;0,00567245649121895
202;35;LDLr-/- LFD;LCCA;0,00279007472571616
203;36;LDLr-/- WD;LCCA;0,0533602818965168
204;37;LDLr-/- LFD;LCCA;0,00166607231004112
205;38;LDLr-/- LFD;LCCA;0,00668681198239414
206;39;LDLr-/- LFD;LCCA;0,0120565144588233
207;40;LDLr-/- WD;LCCA;0,0573962222060975
208;41;LDLr-/- LFD;LCCA;7,73937949085131e-05
209;112019676;ApoE-/- CHOW;LCCA;0
210;122019676;ApoE-/- CHOW;LCCA;0
211;132019676;ApoE-/- CHOW;LCCA;0
212;142019676;ApoE-/- CHOW;LCCA;0
213;152019676;ApoE-/- CHOW;LCCA;0
214;162019676;ApoE-/- CHOW;LCCA;0
215;172019676;ApoE-/- CHOW;LCCA;0
216;182019676;ApoE-/- CHOW;LCCA;0
217;192019676;ApoE-/- CHOW;LCCA;0
218;202019676;ApoE-/- CHOW;LCCA;0
219;102019676;ApoE-/- WD;LCCA;0,04
220;12019676;ApoE-/- WD;LCCA;0
221;22019676;ApoE-/- WD;LCCA;0
222;32019676;ApoE-/- WD;LCCA;0,04
223;42019676;ApoE-/- WD;LCCA;0
224;52019676;ApoE-/- WD;LCCA;0
225;62019676;ApoE-/- WD;LCCA;0,04
226;72019676;ApoE-/- WD;LCCA;0,04
227;82019676;ApoE-/- WD;LCCA;0,04
228;92019676;ApoE-/- WD;LCCA;0,04
229;1;LDLr-/- LFD;BCA;0,00584219844377123
230;2;LDLr-/- LFD;BCA;0,00149086280211951
231;3;LDLr-/- WD;BCA;0,0609423934655118
232;4;LDLr-/- LFD;BCA;0,000159338721892465
233;5;LDLr-/- LFD;BCA;0,00883093469798417
234;6;LDLr-/- WD;BCA;0,0241604481231951
235;7;LDLr-/- LFD;BCA;0,0293230045791709
236;8;LDLr-/- WD;BCA;0,0717354261173379
237;9;LDLr-/- LFD;BCA;0,0046706305917004
238;10;LDLr-/- WD;BCA;0,0623304717544529
239;11;LDLr-/- WD;BCA;0,0965842034274968
240;12;LDLr-/- LFD;BCA;3,99708259449196e-05
241;14;LDLr-/- WD;BCA;0,127842515347511
242;15;LDLr-/- WD;BCA;0,189368147510242
243;16;LDLr-/- LFD;BCA;0,00603925797866502
244;18;LDLr-/- WD;BCA;0,141736379063946
245;19;LDLr-/- LFD;BCA;0,0123610928402584
246;20;LDLr-/- LFD;BCA;0,00126380483507052
247;21;LDLr-/- WD;BCA;0,15152699759741
248;22;LDLr-/- LFD;BCA;0,000268111516496388
249;23;LDLr-/- WD;BCA;0,113283613265248
250;24;LDLr-/- WD;BCA;0,080893445854819
251;25;LDLr-/- WD;BCA;0,106616479151404
252;26;LDLr-/- WD;BCA;0,121995367389918
253;28;LDLr-/- LFD;BCA;0,00885242884402211
254;30;LDLr-/- LFD;BCA;0,00449589362077245
255;31;LDLr-/- LFD;BCA;0,00518886702943518
256;32;LDLr-/- WD;BCA;0,129097899963565
257;33;LDLr-/- WD;BCA;0,0985626514453264
258;34;LDLr-/- LFD;BCA;0,0472127742609298
259;35;LDLr-/- LFD;BCA;0,000302994540349266
260;36;LDLr-/- WD;BCA;0,105807098761242
261;37;LDLr-/- LFD;BCA;0,00018971334333315
262;38;LDLr-/- LFD;BCA;0,00022895914158495
263;39;LDLr-/- LFD;BCA;0,0358974928017032
264;40;LDLr-/- WD;BCA;0,0833398954090753
265;41;LDLr-/- LFD;BCA;0,0402283564868401
266;112019676;ApoE-/- CHOW;BCA;0,12
267;122019676;ApoE-/- CHOW;BCA;0,08
268;132019676;ApoE-/- CHOW;BCA;0
269;142019676;ApoE-/- CHOW;BCA;0,04
270;152019676;ApoE-/- CHOW;BCA;0,12
271;162019676;ApoE-/- CHOW;BCA;0,04
272;172019676;ApoE-/- CHOW;BCA;0,08
273;182019676;ApoE-/- CHOW;BCA;0,12
274;192019676;ApoE-/- CHOW;BCA;0
275;202019676;ApoE-/- CHOW;BCA;0,12
276;102019676;ApoE-/- WD;BCA;0,16
277;12019676;ApoE-/- WD;BCA;0,24
278;22019676;ApoE-/- WD;BCA;0,04
279;32019676;ApoE-/- WD;BCA;0,16
280;42019676;ApoE-/- WD;BCA;0,12
281;52019676;ApoE-/- WD;BCA;0,12
282;62019676;ApoE-/- WD;BCA;0,12
283;72019676;ApoE-/- WD;BCA;0,24
284;82019676;ApoE-/- WD;BCA;0,2
285;92019676;ApoE-/- WD;BCA;0,24
